time,abs,assay_type,sample_vol
0,0.405,assay_blank,0
0.1,0.405,assay_blank,0
0.2,0.405,assay_blank,0
0.3,0.405,assay_blank,0
0.4,0.405,assay_blank,0
0.5,0.405,assay_blank,0
0.6,0.405,assay_blank,0
0.7,0.405,assay_blank,0
0.8,0.405,assay_blank,0
0.9,0.405,assay_blank,0
1,0.405,assay_blank,0
0,0.005,sample_blank,1.5
0.1,0.005,sample_blank,1.5
0.2,0.005,sample_blank,1.5
0.3,0.005,sample_blank,1.5
0.4,0.005,sample_blank,1.5
0.5,0.006,sample_blank,1.5
0.6,0.006,sample_blank,1.5
0.7,0.005,sample_blank,1.5
0.8,0.005,sample_blank,1.5
0.9,0.005,sample_blank,1.5
1,0.005,sample_blank,1.5
0,0.4,sample_assay,1
0.1,0.398,sample_assay,1
0.2,0.396,sample_assay,1
0.3,0.394,sample_assay,1
0.4,0.392,sample_assay,1
0.5,0.389,sample_assay,1
0.6,0.387,sample_assay,1
0.7,0.385,sample_assay,1
0.8,0.384,sample_assay,1
0.9,0.382,sample_assay,1
1,0.38,sample_assay,1
0,0.394,sample_assay,1.5
0.1,0.391,sample_assay,1.5
0.2,0.388,sample_assay,1.5
0.3,0.385,sample_assay,1.5
0.4,0.381,sample_assay,1.5
0.5,0.378,sample_assay,1.5
0.6,0.375,sample_assay,1.5
0.7,0.373,sample_assay,1.5
0.8,0.369,sample_assay,1.5
0.9,0.366,sample_assay,1.5
1,0.363,sample_assay,1.5
0,0.405,sample_assay,0.5
0.1,0.404,sample_assay,0.5
0.2,0.403,sample_assay,0.5
0.3,0.401,sample_assay,0.5
0.4,0.4,sample_assay,0.5
0.5,0.398,sample_assay,0.5
0.6,0.397,sample_assay,0.5
0.7,0.396,sample_assay,0.5
0.8,0.395,sample_assay,0.5
0.9,0.394,sample_assay,0.5
1,0.393,sample_assay,0.5
0,0.38,sample_assay,5
0.1,0.371,sample_assay,5
0.2,0.362,sample_assay,5
0.3,0.35,sample_assay,5
0.4,0.34,sample_assay,5
0.5,0.331,sample_assay,5
0.6,0.321,sample_assay,5
0.7,0.313,sample_assay,5
0.8,0.305,sample_assay,5
0.9,0.297,sample_assay,5
1,0.29,sample_assay,5
0,0.367,sample_assay,10
0.1,0.348,sample_assay,10
0.2,0.327,sample_assay,10
0.3,0.309,sample_assay,10
0.4,0.292,sample_assay,10
0.5,0.278,sample_assay,10
0.6,0.264,sample_assay,10
0.7,0.252,sample_assay,10
0.8,0.24,sample_assay,10
0.9,0.229,sample_assay,10
1,0.219,sample_assay,10
0,0.355,sample_assay,20
0.1,0.318,sample_assay,20
0.2,0.289,sample_assay,20
0.3,0.264,sample_assay,20
0.4,0.242,sample_assay,20
0.5,0.223,sample_assay,20
0.6,0.206,sample_assay,20
0.7,0.191,sample_assay,20
0.8,0.178,sample_assay,20
0.9,0.166,sample_assay,20
1,0.156,sample_assay,20
0,0.405,continuous_read,0
0.1,0.405,continuous_read,0
0.2,0.405,continuous_read,0
0.3,0.405,continuous_read,0
0.4,0.405,continuous_read,0
0.5,0.405,continuous_read,0
0.6,0.405,continuous_read,0
0.7,0.405,continuous_read,0
0.8,0.405,continuous_read,0
0.9,0.405,continuous_read,0
1,0.405,continuous_read,0
1.25,0.4,continuous_read,1
1.35,0.398,continuous_read,1
1.45,0.396,continuous_read,1
1.55,0.394,continuous_read,1
1.65,0.392,continuous_read,1
1.75,0.389,continuous_read,1
1.85,0.387,continuous_read,1
1.95,0.385,continuous_read,1
2.05,0.384,continuous_read,1
2.15,0.382,continuous_read,1
2.4,0.38,continuous_read,1