time,abs,h2o2_conc
0,0.049,1
18,0.048,1
30,0.047,1
0,0.104,2.5
6,0.103,2.5
9,0.102,2.5
15,0.101,2.5
18,0.1,2.5
24,0.099,2.5
27,0.098,2.5
30,0.097,2.5
0,0.195,5
3,0.194,5
6,0.193,5
9,0.192,5
12,0.191,5
15,0.189,5
18,0.188,5
21,0.187,5
24,0.186,5
27,0.184,5
30,0.183,5
0,0.386,10
3,0.384,10
6,0.381,10
9,0.379,10
12,0.376,10
15,0.374,10
18,0.372,10
21,0.37,10
24,0.367,10
27,0.364,10
30,0.362,10
0,0.949,25
3,0.943,25
6,0.937,25
9,0.931,25
12,0.927,25
15,0.921,25
18,0.914,25
21,0.909,25
24,0.904,25
27,0.898,25
30,0.893,25
0,0.005,0
9,0.005,0
18,0.005,0
24,0.005,0
30,0.005,0